"ActualValue","Commandlet","Criticality","PolicyId","ReportDetails","RequirementMet"
"[""Application Administrator"",""Cloud Application Administrator"",""Hybrid Identity Administrator"",""Privileged Role Administrator"",""SharePoint Administrator""]","Get-MgBetaSubscribedSku, Get-PrivilegedRole","Shall","MS.AAD.7.6v1","Requirement met","True"
"[""Jane Doe"",""John Public""]","Get-MgBetaSubscribedSku, Get-PrivilegedUser","Shall","MS.AAD.7.1v1","2 global admin(s) found:<br/>Jane Doe, John Public","True"
"""MS.AAD.1.1v1 Legacy authentication SHALL be blocked""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.AAD.1.1v1","1 conditional access policy(s) found that meet(s) all requirements:<br/>MS.AAD.1.1v1 Legacy authentication SHALL be blocked. <a href='#caps'>View all CA policies</a>.","True"
"""MS.AAD.2.1v1 Users detected as high risk SHALL be blocked""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.AAD.2.1v1","1 conditional access policy(s) found that meet(s) all requirements:<br/>MS.AAD.2.1v1 Users detected as high risk SHALL be blocked. <a href='#caps'>View all CA policies</a>.","True"
"""MS.AAD.2.3v1 Sign-ins detected as high risk SHALL be blocked""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.AAD.2.3v1","1 conditional access policy(s) found that meet(s) all requirements:<br/>MS.AAD.2.3v1 Sign-ins detected as high risk SHALL be blocked. <a href='#caps'>View all CA policies</a>.","True"
"""MS.AAD.3.2v1 If phishing-resistant MFA has not been enforced, an alternative MFA method SHALL be enforced for all users""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.AAD.3.2v1","1 conditional access policy(s) found that meet(s) all requirements:<br/>MS.AAD.3.2v1 If phishing-resistant MFA has not been enforced, an alternative MFA method SHALL be enforced for all users. <a href='#caps'>View all CA policies</a>.","True"
"""Privileged Role Administrator""","Get-MgBetaSubscribedSku, Get-PrivilegedRole","Shall","MS.AAD.7.8v1","Requirement met","True"
"""Privileged Role Administrator""","Get-MgBetaSubscribedSku, Get-PrivilegedRole","Should","MS.AAD.7.9v1","1 role(s) without notification e-mail configured for role activations found:<br/>Privileged Role Administrator","False"
"[""Privileged Role Administrator"",""User Administrator""]","Get-MgBetaSubscribedSku, Get-PrivilegedRole","Shall","MS.AAD.7.7v1","2 role(s) without notification e-mail configured for role assignments found:<br/>Privileged Role Administrator, User Administrator","False"
"{""Name"":""EnableGroupSpecificConsent"",""SettingsGroup"":""Consent Policy Settings"",""Value"":""true""}","Get-MgBetaDirectorySetting","Shall","MS.AAD.5.4v1","Requirement not met","False"
,"","Shall/Not-Implemented","MS.DEFENDER.6.2v1","Not currently checked automatically. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/defender.md#msdefender62v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","False"
,"","Shall/Not-Implemented","MS.DEFENDER.6.3v1","Not currently checked automatically. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/defender.md#msdefender63v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","False"
,"","Should/Not-Implemented","MS.DEFENDER.4.5v1","Not currently checked automatically. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/defender.md#msdefender45v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","False"
,"","Should/Not-Implemented","MS.DEFENDER.4.6v1","Not currently checked automatically. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/defender.md#msdefender46v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","False"
,"","Should/Not-Implemented","MS.DEFENDER.5.2v1","Not currently checked automatically. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/defender.md#msdefender52v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","False"
"[{""Accounts"":[],""Action"":"""",""Name"":""Strict Preset Security Policy""},{""Accounts"":[],""Action"":"""",""Name"":""Standard Preset Security Policy""}]","Get-AntiPhishPolicy","Should","MS.DEFENDER.2.1v1","Not all sensitive users are included for targeted protection in Strict or Standard policy.","False"
"[{""Accounts"":[],""Action"":"""",""Name"":""Strict Preset Security Policy""},{""Accounts"":[],""Action"":"""",""Name"":""Standard Preset Security Policy""}]","Get-AntiPhishPolicy","Should","MS.DEFENDER.2.2v1","Not all agency domains are included for targeted protection in Strict or Standard policy.","False"
"[{""Accounts"":[],""Action"":"""",""Name"":""Strict Preset Security Policy""},{""Accounts"":[],""Action"":"""",""Name"":""Standard Preset Security Policy""}]","Get-AntiPhishPolicy","Should","MS.DEFENDER.2.3v1","Not all partner domains are included for targeted protection in Strict or Standard policy.","False"
"{""ATPProtectionPolicies"":false}","Get-ATPProtectionPolicyRule","Shall","MS.DEFENDER.1.5v1","Requirement not met","False"
"{""Credit_Card"":[""items containing ITIN and SSN"",""protection rule 4""],""ITIN"":[""items containing ITIN and SSN"",""protection rule 2"",""protection rule 4""],""SSN"":[""items containing ITIN and SSN"",""protection rule 4""]}","Get-DlpComplianceRule","Shall","MS.DEFENDER.4.1v1","Requirement met","True"
"{""Devices"":[],""Exchange"":[{""Locations"":[""All""],""Name"":""Default Office 365 DLP policy"",""Workload"":""Exchange, SharePoint, OneDriveForBusiness, Teams""},{""Locations"":[""All""],""Name"":""ted policy 2"",""Workload"":""Exchange, SharePoint, OneDriveForBusiness""}],""OneDrive"":[{""Locations"":[""All""],""Name"":""Default Office 365 DLP policy"",""Workload"":""Exchange, SharePoint, OneDriveForBusiness, Teams""},{""Locations"":[""All""],""Name"":""ted policy 2"",""Workload"":""Exchange, SharePoint, OneDriveForBusiness""}],""SharePoint"":[{""Locations"":[""All""],""Name"":""Default Office 365 DLP policy"",""Workload"":""Exchange, SharePoint, OneDriveForBusiness, Teams""},{""Locations"":[""All""],""Name"":""ted policy 2"",""Workload"":""Exchange, SharePoint, OneDriveForBusiness""}],""Teams"":[{""Locations"":[""All""],""Name"":""Default Office 365 DLP policy"",""Workload"":""Exchange, SharePoint, OneDriveForBusiness, Teams""}]}","Get-DLPCompliancePolicy","Should","MS.DEFENDER.4.2v1","No enabled policy found that applies to: Devices","False"
"{""EOPProtectionPolicies"":false}","Get-EOPProtectionPolicyRule","Shall","MS.DEFENDER.1.4v1","Requirement not met","False"
"{""StandardPresetState"":true,""StrictPresetState"":true}","Get-EOPProtectionPolicyRule, Get-ATPProtectionPolicyRule","Shall","MS.DEFENDER.1.1v1","Requirement met","True"
"{""StandardSetToAll"":false,""StrictSetToAll"":false}","Get-EOPProtectionPolicyRule","Shall","MS.DEFENDER.1.2v1","Requirement not met","False"
"{""StandardSetToAll"":true,""StrictSetToAll"":false}","Get-ATPProtectionPolicyRule","Shall","MS.DEFENDER.1.3v1","Requirement met","True"
,"Get-AdminAuditLogConfig","Shall","MS.DEFENDER.6.1v1","Requirement not met","False"
,"Get-ProtectionAlert","Shall","MS.DEFENDER.5.1v1","Requirement met","True"
"""protection rule 4""","Get-DlpComplianceRule","Should","MS.DEFENDER.4.3v1","1 rule(s) found that do(es) not block access or associated policy not set to enforce block action: protection rule 4","False"
"""protection rule 4""","Get-DlpComplianceRule","Should","MS.DEFENDER.4.4v1","1 rule(s) found that do(es) not notify at least one user: protection rule 4","False"
"{""EnableATPForSPOTeamsODB"":true,""Identity"":""Default""}","Get-AtpPolicyForO365","Should","MS.DEFENDER.3.1v1","Requirement met","True"
,"","Shall/3rd Party","MS.EXO.10.1v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo101v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Shall/3rd Party","MS.EXO.10.2v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo102v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Shall/3rd Party","MS.EXO.14.1v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo141v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Shall/3rd Party","MS.EXO.14.2v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo142v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Shall/3rd Party","MS.EXO.14.3v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo143v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Shall/3rd Party","MS.EXO.16.1v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo161v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Shall/3rd Party","MS.EXO.17.1v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo171v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Shall/3rd Party","MS.EXO.17.2v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo172v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Shall/3rd Party","MS.EXO.17.3v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo173v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Shall/3rd Party","MS.EXO.8.1v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo81v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Shall/3rd Party","MS.EXO.8.2v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo82v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Shall/3rd Party","MS.EXO.9.1v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo91v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Shall/3rd Party","MS.EXO.9.3v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo93v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Shall/Not-Implemented","MS.EXO.2.1v1","Not currently checked automatically. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo21v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","False"
,"","Should/3rd Party","MS.EXO.10.3v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo103v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Should/3rd Party","MS.EXO.11.1v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo111v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Should/3rd Party","MS.EXO.11.2v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo112v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Should/3rd Party","MS.EXO.11.3v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo113v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Should/3rd Party","MS.EXO.15.1v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo151v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Should/3rd Party","MS.EXO.15.2v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo152v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Should/3rd Party","MS.EXO.15.3v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo153v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Should/3rd Party","MS.EXO.16.2v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo162v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
,"","Should/3rd Party","MS.EXO.9.2v1","A custom product can be used to fulfill this policy requirement. Use a 3rd party assessment tool or manually review to ensure compliance. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/exo.md#msexo92v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check. If you are using Defender for Office 365 to implement this policy, ensure that you are running ScubaGear with defender included in the ProductNames parameter for an automated check. Then, review the corresponding Defender for Office 365 policy that fulfills the requirements of this EXO policy.","False"
"[""InOrganization"",""NotInOrganization""]","Get-TransportRule","Shall","MS.EXO.7.1v1","Requirement met","True"
